[2025-12-10 12:53:36,923] INFO - HTTP Request: POST https://dagshub.com/login/oauth/middleman "HTTP/1.1 200 OK"
[2025-12-10 12:53:37,867] INFO - HTTP Request: POST https://dagshub.com/login/oauth/access_token "HTTP/1.1 200 OK"
[2025-12-10 12:53:38,807] INFO - HTTP Request: GET https://dagshub.com/api/v1/user "HTTP/1.1 200 OK"
[2025-12-10 12:53:38,810] INFO - Accessing as devesh.dhyani0101
[2025-12-10 12:53:39,837] INFO - HTTP Request: GET https://dagshub.com/api/v1/repos/devesh.dhyani0101/Network-Security "HTTP/1.1 200 OK"
[2025-12-10 12:53:40,777] INFO - HTTP Request: GET https://dagshub.com/api/v1/user "HTTP/1.1 200 OK"
[2025-12-10 12:53:40,780] INFO - Initialized MLflow to track repo "devesh.dhyani0101/Network-Security"
[2025-12-10 12:53:40,781] INFO - Repository devesh.dhyani0101/Network-Security initialized!
[2025-12-10 12:53:40,781] INFO - Initiate the data Ingestion
[2025-12-10 12:53:42,434] INFO - Performed train test split on the dataframe
[2025-12-10 12:53:42,434] INFO - Exited split_data_as_train_test method of Data_Ingestion class
[2025-12-10 12:53:42,434] INFO - Exporting train and test file path.
[2025-12-10 12:53:42,461] INFO - Exported train and test file path.
[2025-12-10 12:53:42,462] INFO - Data Ingestion completed
[2025-12-10 12:53:42,464] INFO - Initiate the data Validation
[2025-12-10 12:53:42,479] INFO - Required number of columns:2
[2025-12-10 12:53:42,479] INFO - Data frame has columns:31
[2025-12-10 12:53:42,479] INFO - Required number of columns:2
[2025-12-10 12:53:42,479] INFO - Data frame has columns:31
[2025-12-10 12:53:42,555] INFO - Data Validation completed
[2025-12-10 12:53:42,555] INFO - Initiate the data Transformation
[2025-12-10 12:53:42,555] INFO - Entered initiate_data_transformation method of DataTransformation class
[2025-12-10 12:53:42,555] INFO - Starting data transformation
[2025-12-10 12:53:42,564] INFO - Entered get_data_trnasformer_object method of Trnasformation class
[2025-12-10 12:53:42,564] INFO - Initialise KNNImputer with {'missing_values': nan, 'n_neighbors': 3, 'weights': 'uniform'}
[2025-12-10 12:53:42,573] INFO - Entered the save_object method of MainUtils class
[2025-12-10 12:53:42,575] INFO - Exited the save_object method of MainUtils class
[2025-12-10 12:53:42,575] INFO - Entered the save_object method of MainUtils class
[2025-12-10 12:53:42,577] INFO - Exited the save_object method of MainUtils class
[2025-12-10 12:53:42,577] INFO - Data Transformation completed
[2025-12-10 12:53:42,577] INFO - Model Training sstared
